timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480464583165,509,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-9,text,true,,2727,1,1,508,0
1480464583675,173,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-9,text,true,,1999,1,1,172,0
1480464583849,86,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-9,text,true,,1849,1,1,86,0
1480464583936,659,Search Page CS,200,OK,JMeter SEARCH_TEST 1-9,text,true,,2882,1,1,658,0
1480464584595,86,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-9,text,true,,1849,1,1,86,0
1480464587099,64,Index Page,200,OK,JMeter SEARCH_TEST 1-10,text,true,,1503,1,1,63,0
1480464587163,505,Course Listing Page,200,OK,JMeter SEARCH_TEST 1-10,text,true,,2727,1,1,504,0
1480464587669,510,Search Page course keyword,200,OK,JMeter SEARCH_TEST 1-10,text,true,,2639,1,1,510,0
1480464588179,80,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-10,text,true,,1849,1,1,80,0
1480464588260,635,Search Page CS,200,OK,JMeter SEARCH_TEST 1-10,text,true,,2882,1,1,635,0
1480464588895,80,Search Page randomstring,200,OK,JMeter SEARCH_TEST 1-10,text,true,,1849,1,1,80,0
1480464620028,87,Index Page,200,OK,JMeter USER_TEST 1-1,text,true,,1503,1,1,87,0
1480464620116,78,Register Page,200,OK,JMeter USER_TEST 1-1,text,true,,2432,1,1,78,0
1480464620197,175,Register Page,200,OK,JMeter USER_TEST 1-1,text,true,,1174,1,1,175,0
1480464620373,75,Login Page,200,OK,JMeter USER_TEST 1-1,text,true,,1992,1,1,75,0
1480464620450,208,Login Post,200,OK,JMeter USER_TEST 1-1,text,true,,1885,1,1,139,0
1480464620660,143,User Listing Page,200,OK,JMeter USER_TEST 1-1,text,true,,1722,1,1,142,0
1480464620803,496,Course Listing Page,200,OK,JMeter USER_TEST 1-1,text,true,,2651,1,1,495,0
1480464621300,185,Tutor Create Page,200,OK,JMeter USER_TEST 1-1,text,true,,2892,1,1,184,0
1480464621531,73,Index Page,200,OK,JMeter USER_TEST 1-2,text,true,,1503,2,2,72,0
1480464621604,92,Register Page,200,OK,JMeter USER_TEST 1-2,text,true,,2432,2,2,92,0
1480464621697,210,Register Page,200,OK,JMeter USER_TEST 1-2,text,true,,1174,2,2,210,0
1480464621908,91,Login Page,200,OK,JMeter USER_TEST 1-2,text,true,,1992,2,2,91,0
1480464621486,535,Tutor Create Page,200,OK,JMeter USER_TEST 1-1,text,true,,1503,2,2,292,0
1480464622021,237,Logout Page,200,OK,JMeter USER_TEST 1-1,text,true,,1824,2,2,152,0
1480464622000,259,Login Post,200,OK,JMeter USER_TEST 1-2,text,true,,1885,1,1,181,0
1480464622259,144,User Listing Page,200,OK,JMeter USER_TEST 1-2,text,true,,1793,1,1,144,0
1480464622404,591,Course Listing Page,200,OK,JMeter USER_TEST 1-2,text,true,,2651,1,1,591,0
1480464623031,74,Index Page,200,OK,JMeter USER_TEST 1-3,text,true,,1503,2,2,74,0
1480464623105,93,Register Page,200,OK,JMeter USER_TEST 1-3,text,true,,2432,2,2,93,0
1480464622996,237,Tutor Create Page,200,OK,JMeter USER_TEST 1-2,text,true,,2892,2,2,237,0
1480464623198,205,Register Page,200,OK,JMeter USER_TEST 1-3,text,true,,1174,2,2,205,0
1480464623404,94,Login Page,200,OK,JMeter USER_TEST 1-3,text,true,,1992,2,2,94,0
1480464623499,257,Login Post,200,OK,JMeter USER_TEST 1-3,text,true,,1885,2,2,178,0
1480464623233,591,Tutor Create Page,200,OK,JMeter USER_TEST 1-2,text,true,,1519,2,2,358,0
1480464623757,166,User Listing Page,200,OK,JMeter USER_TEST 1-3,text,true,,1864,2,2,166,0
1480464623824,204,Logout Page,200,OK,JMeter USER_TEST 1-2,text,true,,1824,2,2,136,0
1480464623924,605,Course Listing Page,200,OK,JMeter USER_TEST 1-3,text,true,,2651,2,2,604,0
1480464624526,75,Index Page,200,OK,JMeter USER_TEST 1-4,text,true,,1503,2,2,75,0
1480464624602,92,Register Page,200,OK,JMeter USER_TEST 1-4,text,true,,2432,2,2,92,0
1480464624530,235,Tutor Create Page,200,OK,JMeter USER_TEST 1-3,text,true,,2892,2,2,235,0
1480464624695,177,Register Page,200,OK,JMeter USER_TEST 1-4,text,true,,1174,2,2,177,0
1480464624873,111,Login Page,200,OK,JMeter USER_TEST 1-4,text,true,,1992,2,2,110,0
1480464624984,241,Login Post,200,OK,JMeter USER_TEST 1-4,text,true,,1885,2,2,165,0
1480464624766,586,Tutor Create Page,200,OK,JMeter USER_TEST 1-3,text,true,,1504,2,2,353,0
1480464625226,179,User Listing Page,200,OK,JMeter USER_TEST 1-4,text,true,,1935,2,2,177,0
1480464625353,207,Logout Page,200,OK,JMeter USER_TEST 1-3,text,true,,1824,2,2,137,0
1480464625405,559,Course Listing Page,200,OK,JMeter USER_TEST 1-4,text,true,,2651,1,1,558,0
1480464626030,84,Index Page,200,OK,JMeter USER_TEST 1-5,text,true,,1503,2,2,84,0
1480464625964,220,Tutor Create Page,200,OK,JMeter USER_TEST 1-4,text,true,,2892,2,2,220,0
1480464626114,98,Register Page,200,OK,JMeter USER_TEST 1-5,text,true,,2432,2,2,98,0
